Station,Connected Station,Distance
Shaheed Sthal,Hindon River,1.0
Hindon River,Shaheed Sthal,1.0
Hindon River,Arthala,1.5
Arthala,Hindon River,1.5
Arthala,Mohan Nagar,0.7000000000000002
Mohan Nagar,Arthala,0.7000000000000002
Mohan Nagar,Shyam park,1.2999999999999998
Shyam park,Mohan Nagar,1.2999999999999998
Shyam park,Major Mohit Sharma,1.2000000000000002
Major Mohit Sharma,Shyam park,1.2000000000000002
Major Mohit Sharma,Raj Bagh,1.2000000000000002
Raj Bagh,Major Mohit Sharma,1.2000000000000002
Raj Bagh,Shaheed Nagar,1.299999999999999
Shaheed Nagar,Raj Bagh,1.299999999999999
Shaheed Nagar,Dilshad Garden,1.200000000000001
Dilshad Garden,Shaheed Nagar,1.200000000000001
Dilshad Garden,Jhil Mil,0.9000000000000004
Jhil Mil,Dilshad Garden,0.9000000000000004
Jhil Mil,Mansarovar Park,1.0999999999999996
Mansarovar Park,Jhil Mil,1.0999999999999996
Mansarovar Park,Shahdara,1.0999999999999996
Shahdara,Mansarovar Park,1.0999999999999996
Shahdara,Welcome,1.1999999999999993
Welcome,Shahdara,1.1999999999999993
Welcome,Seelampur,1.1000000000000014
Welcome,East Azad Nagar,1.0999999999999943
Welcome,Jaffrabad,1.2000000000000028
Seelampur,Welcome,1.1000000000000014
Seelampur,Shastri Park,1.5999999999999979
Shastri Park,Seelampur,1.5999999999999979
Shastri Park,Kashmere Gate,2.1000000000000014
Kashmere Gate,Shastri Park,2.1000000000000014
Kashmere Gate,Tis Hazari,1.1999999999999993
Kashmere Gate,Civil Lines,1.0999999999999996
Kashmere Gate,Chandni Chowk,1.1000000000000014
Kashmere Gate,Lal Quila,1.5
Tis Hazari,Kashmere Gate,1.1999999999999993
Tis Hazari,Pul Bangash,0.9000000000000021
Pul Bangash,Tis Hazari,0.9000000000000021
Pul Bangash,Pratap Nagar,0.7999999999999972
Pratap Nagar,Pul Bangash,0.7999999999999972
Pratap Nagar,Shastri Nagar,1.7000000000000028
Shastri Nagar,Pratap Nagar,1.7000000000000028
Shastri Nagar,Inderlok,1.1999999999999993
Inderlok,Shastri Nagar,1.1999999999999993
Inderlok,Kanhaiya Nagar,1.1999999999999993
Kanhaiya Nagar,Inderlok,1.1999999999999993
Kanhaiya Nagar,Keshav Puram,0.6999999999999993
Keshav Puram,Kanhaiya Nagar,0.6999999999999993
Keshav Puram,Netaji Subash Place,1.1999999999999993
Netaji Subash Place,Keshav Puram,1.1999999999999993
Netaji Subash Place,Kohat Enclave,1.2000000000000028
Netaji Subash Place,Shalimar Bagh,1.3999999999999995
Netaji Subash Place,Shakurpur,1.2000000000000002
Kohat Enclave,Netaji Subash Place,1.2000000000000028
Kohat Enclave,Pitam Pura,1.0
Pitam Pura,Kohat Enclave,1.0
Pitam Pura,Rohini East,0.7999999999999972
Rohini East,Pitam Pura,0.7999999999999972
Rohini East,Rohini West,1.3000000000000007
Rohini West,Rohini East,1.3000000000000007
Rohini West,Rithala(last station),1.0000000000000036
Rithala(last station),Rohini West,1.0000000000000036
Samaypur Badli(First Station),Rohini Sector 18-19,0.8
Rohini Sector 18-19,Samaypur Badli(First Station),0.8
Rohini Sector 18-19,Haiderpur Badli Mor,1.3
Haiderpur Badli Mor,Rohini Sector 18-19,1.3
Haiderpur Badli Mor,Jahangirpuri,1.2999999999999998
Jahangirpuri,Haiderpur Badli Mor,1.2999999999999998
Jahangirpuri,Adarsh Nagar,1.3000000000000003
Adarsh Nagar,Jahangirpuri,1.3000000000000003
Adarsh Nagar,Azadpur,1.5
Azadpur,Adarsh Nagar,1.5
Azadpur,Model Town,1.3999999999999995
Azadpur,Majlis Park,2.1
Azadpur,Shalimar Bagh,1.6
Model Town,Azadpur,1.3999999999999995
Model Town,Guru Tegh Bahadur Nagar,1.4000000000000004
Guru Tegh Bahadur Nagar,Model Town,1.4000000000000004
Guru Tegh Bahadur Nagar,Vishwavidyalaya,0.8000000000000007
Vishwavidyalaya,Guru Tegh Bahadur Nagar,0.8000000000000007
Vishwavidyalaya,Vidhan Sabha,1.0
Vidhan Sabha,Vishwavidyalaya,1.0
Vidhan Sabha,Civil Lines,1.299999999999999
Civil Lines,Vidhan Sabha,1.299999999999999
Civil Lines,Kashmere Gate,1.0999999999999996
Chandni Chowk,Kashmere Gate,1.1000000000000014
Chandni Chowk,Chawri Bazar,1.0
Chawri Bazar,Chandni Chowk,1.0
Chawri Bazar,New Delhi,0.8000000000000007
New Delhi,Chawri Bazar,0.8000000000000007
New Delhi,Rajiv Chowk,1.0999999999999979
Rajiv Chowk,New Delhi,1.0999999999999979
Rajiv Chowk,Patel Chowk,1.3000000000000007
Rajiv Chowk,R K Ashram Marg,1.2000000000000028
Rajiv Chowk,Barakhamba,0.6999999999999993
Patel Chowk,Rajiv Chowk,1.3000000000000007
Patel Chowk,Central Secretariat,0.8999999999999986
Central Secretariat,Patel Chowk,0.8999999999999986
Central Secretariat,Udyog Bhawan,0.3000000000000007
Central Secretariat,Janpath,1.2999999999999998
Central Secretariat,Khan Market,2.0999999999999996
Udyog Bhawan,Central Secretariat,0.3000000000000007
Udyog Bhawan,Lok Kalyan Marg,1.6000000000000014
Lok Kalyan Marg,Udyog Bhawan,1.6000000000000014
Lok Kalyan Marg,Jor Bagh,1.1999999999999993
Jor Bagh,Lok Kalyan Marg,1.1999999999999993
Jor Bagh,Dilli Haat INA,1.3000000000000007
Dilli Haat INA,Jor Bagh,1.3000000000000007
Dilli Haat INA,AIIMS,0.8000000000000007
Dilli Haat INA,Sarojini Nagar,1.0999999999999979
Dilli Haat INA,South Extension,1.2000000000000028
AIIMS,Dilli Haat INA,0.8000000000000007
AIIMS,Green Park,1.0
Green Park,AIIMS,1.0
Green Park,Hauz Khas,1.7999999999999972
Hauz Khas,Green Park,1.7999999999999972
Hauz Khas,Malviya Nagar,1.7000000000000028
Hauz Khas,IIT Delhi,1.1999999999999993
Hauz Khas,Panchsheel Park,1.5
Malviya Nagar,Hauz Khas,1.7000000000000028
Malviya Nagar,Saket,0.8999999999999986
Saket,Malviya Nagar,0.8999999999999986
Saket,Qutab Minar,1.6999999999999993
Qutab Minar,Saket,1.6999999999999993
Qutab Minar,Chhattarpur,1.3000000000000007
Chhattarpur,Qutab Minar,1.3000000000000007
Chhattarpur,Sultanpur,1.6000000000000014
